teamid,name,weapon,damage
1,CES_HaiSaki,BP_CoupeRB_C,3.273953617
1,CES_HaiSaki,BP_Niva_04_C,43.1134491
1,CES_HaiSaki,BP_Niva_Esports_C,7.539061069
1,CES_HaiSaki,BP_PickupTruck_A_04_C,2.565683842
1,CES_HaiSaki,BP_PickupTruck_A_05_C,8.382923126
1,CES_HaiSaki,BP_PickupTruck_A_esports_C,23.48718118
1,CES_HaiSaki,BP_PonyCoupe_C,1.145706177
1,CES_HaiSaki,Dacia_A_03_v2_C,2.175672531
1,CES_HaiSaki,PlayerFemale_A_C,1.41898191
1,CES_HaiSaki,ProjGrenade_C,132.481081
1,CES_HaiSaki,WeapAUG_C,98.57168579
1,CES_HaiSaki,WeapBerylM762_C,99.94014835
1,CES_HaiSaki,WeapDragunov_C,93.82691955
1,CES_HaiSaki,WeapG36C_C,267.5325108
1,CES_HaiSaki,WeapHK416_C,506.0672112
1,CES_HaiSaki,WeapMini14_C,771.1205521
1,CES_HaiSaki,WeapMk12_C,766.306509
1,CES_Himass,BP_FireEffectController_C,12
1,CES_Himass,Bluezonebomb_EffectActor_C,161.1764705
1,CES_Himass,Dacia_A_03_v2_Esports_C,2.140711308
1,CES_Himass,PlayerFemale_A_C,1.081615329
1,CES_Himass,ProjGrenade_C,218.85009
1,CES_Himass,ProjMolotov_C,20
1,CES_Himass,WeapAUG_C,5962.919972
1,CES_Himass,WeapBerylM762_C,101.3999996
1,CES_Himass,WeapFNFal_C,82.16578674
1,CES_Himass,WeapMini14_C,956.641346
1,CES_Himass,WeapMk12_C,1604.294836
1,CES_Sololzy,BP_CoupeRB_C,2.33452487
1,CES_Sololzy,BP_Niva_Esports_C,22.91934013
1,CES_Sololzy,BP_PickupTruck_A_03_C,1.816472173
1,CES_Sololzy,BP_PickupTruck_A_esports_C,33.01941824
1,CES_Sololzy,Bluezonebomb_EffectActor_C,120
1,CES_Sololzy,PlayerFemale_A_C,15.18562937
1,CES_Sololzy,ProjGrenade_C,128.0141792
1,CES_Sololzy,Uaz_C_01_C,66.32718135
1,CES_Sololzy,WeapACE32_C,60.62999725
1,CES_Sololzy,WeapAUG_C,696.6011219
1,CES_Sololzy,WeapBerylM762_C,335.5224953
1,CES_Sololzy,WeapDragunov_C,485.0945034
1,CES_Sololzy,WeapFNFal_C,65.66337395
1,CES_Sololzy,WeapMini14_C,1380.12639
1,CES_Sololzy,WeapMk12_C,725.701809
1,CES_Sololzy,WeapSKS_C,19.17109299
1,CES_Taikonn,BP_Niva_Esports_C,35.22193622
1,CES_Taikonn,BP_PickupTruck_A_esports_C,28.47717858
1,CES_Taikonn,Dacia_A_03_v2_Esports_C,1.307726264
1,CES_Taikonn,PlayerFemale_A_C,4.225856304
1,CES_Taikonn,ProjGrenade_C,86.7550869
1,CES_Taikonn,Uaz_C_01_C,7.042850733
1,CES_Taikonn,WeapACE32_C,16.19402313
1,CES_Taikonn,WeapAUG_C,1930.209059
1,CES_Taikonn,WeapBerylM762_C,221.3414078
1,CES_Taikonn,WeapDP12_C,27.03000068
1,CES_Taikonn,WeapDragunov_C,37.79999542
1,CES_Taikonn,WeapFNFal_C,592.5063896
1,CES_Taikonn,WeapMini14_C,525.9232559
1,CES_Taikonn,WeapMk12_C,1852.781834
2,LG_Fludd,BP_Niva_07_C,2.262701273
2,LG_Fludd,BP_PickupTruck_A_05_C,6.338515759
2,LG_Fludd,PlayerMale_A_C,70.85011482
2,LG_Fludd,ProjGrenade_C,232.3185234
2,LG_Fludd,Uaz_B_01_esports_C,1.500356197
2,LG_Fludd,WeapACE32_C,237.0228653
2,LG_Fludd,WeapAUG_C,1315.884306
2,LG_Fludd,WeapBerylM762_C,79.20000077
2,LG_Fludd,WeapFNFal_C,97.62864304
2,LG_Fludd,WeapHK416_C,100.0000038
2,LG_Fludd,WeapM249_C,40.59000016
2,LG_Fludd,WeapMini14_C,1245.324944
2,LG_Fludd,WeapMk12_C,213.0655823
2,LG_M1ME,BP_Niva_04_C,51.48859406
2,LG_M1ME,BP_Niva_06_C,36.35414886
2,LG_M1ME,BP_Niva_Esports_C,12.91010666
2,LG_M1ME,BP_PickupTruck_A_05_C,8.951395035
2,LG_M1ME,Bluezonebomb_EffectActor_C,57.19000506
2,LG_M1ME,Mortar_Projectile_C,214.3682766
2,LG_M1ME,PanzerFaust100M_Projectile_C,123.835144
2,LG_M1ME,PlayerFemale_A_C,51.53469694
2,LG_M1ME,ProjGrenade_C,203.5425568
2,LG_M1ME,Uaz_B_01_esports_C,17.08955383
2,LG_M1ME,WeapAK47_C,131.0200005
2,LG_M1ME,WeapAUG_C,827.6820736
2,LG_M1ME,WeapAWM_C,385.018856
2,LG_M1ME,WeapBerylM762_C,26.1880703
2,LG_M1ME,WeapDragunov_C,236.6559677
2,LG_M1ME,WeapFNFal_C,418.8447037
2,LG_M1ME,WeapGroza_C,90.57827378
2,LG_M1ME,WeapHK416_C,402.4768229
2,LG_M1ME,WeapMG3_C,174.0000009
2,LG_M1ME,WeapMini14_C,387.5953779
2,LG_M1ME,WeapMk12_C,267.9664307
