DBNOs,assists,attributes_createdAt,attributes_duration,attributes_gameMode,attributes_isCustomMatch,attributes_mapName,attributes_matchType,attributes_seasonState,attributes_shardId,attributes_stats,attributes_tags,attributes_titleId,boosts,damageDealt,deathType,headshotKills,heals,id,killPlace,killStreaks,kills,links_schema,links_self,longestKill,name,playerId,relationships_assets_data,relationships_rosters_data,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,type,vehicleDestroys,walkDistance,weaponsAcquired,winPlace
,,2023-12-03T12:59:22Z,1881,esports-squad-fpp,True,DihorOtok_Main,,progress,tournament,,,bluehole-pubg,,,,,,e75494f6-f5dc-4ef3-8fa8-da3a277b3c64,,,,,https://api-eks.pubg.com/shards/tournament/matches/e75494f6-f5dc-4ef3-8fa8-da3a277b3c64,,,,"[{'type': 'asset', 'id': '6f6e792b-91e0-11ee-8a1f-1eb0f844511c'}]","[{'type': 'roster', 'id': 'a64feb35-2411-4941-ab01-6530d9ef53d9'}, {'type': 'roster', 'id': '7c0b500e-3ca2-4a8a-b49b-fbcd56340d87'}, {'type': 'roster', 'id': 'ca86d49c-cbed-437e-bfec-3e788974c2d2'}, {'type': 'roster', 'id': 'aaa362ef-27b9-4aca-8a88-fb237dceed48'}, {'type': 'roster', 'id': 'ecdc27b3-0d8d-41f2-9304-a08fb9bf622e'}, {'type': 'roster', 'id': '7f5f603d-18d1-47f3-9a63-26b07bb104b5'}, {'type': 'roster', 'id': '0499d15e-26c4-431d-ab9f-3a10b7f87287'}, {'type': 'roster', 'id': '19afa32f-dfdf-44c6-a338-2428e232ee6e'}, {'type': 'roster', 'id': '978749c0-f9b9-4c04-8458-d2412ac74a79'}, {'type': 'roster', 'id': '5799fbb3-354f-46bb-8825-7fb4899c4f5c'}, {'type': 'roster', 'id': '4576a2f5-7269-4687-bbdc-645fafcc28e9'}, {'type': 'roster', 'id': 'b70f8d25-eb83-43ec-b0fd-92c204d86f6e'}, {'type': 'roster', 'id': '4b6e14dd-0893-42d2-8cb0-2924071f1e7f'}, {'type': 'roster', 'id': '98b37ad3-77f2-412b-b239-1792e2b12724'}, {'type': 'roster', 'id': '2255cc03-d996-4e52-a3fc-cd3fb5a051b8'}, {'type': 'roster', 'id': 'c8608749-e3a7-4f47-aaee-b45895078ebf'}]",,,,,,,match,,,,
3,1,,,,,,,,,,,,4,460.91638,byplayer,1,2,,9,2,2,,,18.363085,PeRo_Cui71,account.c596e9d2c25c4e41872285a292a14b4d,,,0,1064.8684,0,0,0,1436,,0,1321.0043,9,2
4,3,,,,,,,,,,,,9,557.8667,alive,1,8,,6,1,3,,,20.178604,DNW_Salute,account.2375c9d38a6a4fe9af48f83089aa6d43,,,1,3361.5247,0,0,0,1881,,0,2182.033,12,1
0,0,,,,,,,,,,,,0,0,byplayer,0,0,,42,0,0,,,0,DAY_Nourinz,account.b584be6230df4b2c90e7e86917e94127,,,0,6905.4336,0,0,0,1316,,0,763.18915,6,9
0,1,,,,,,,,,,,,2,112.453354,byplayer,0,0,,49,0,0,,,0,SQ_hwinn,account.cadc0e574c244d1db903c2e84d694836,,,0,7629.409,0,0,0,1059,,0,903.4026,6,11
1,0,,,,,,,,,,,,1,201.92947,byplayer,0,1,,31,0,0,,,0,PeRo_Summer,account.d647ce8c37054618ad0b75bf5de86ccb,,,0,789.84106,0,0,0,1880,,1,2405.3418,7,2
2,3,,,,,,,,,,,,7,250.87067,alive,0,8,,17,1,1,,,18.926851,DNW_Inonix,account.3a5ab7f1df8444e7b91e666beb7d3a02,,,0,3760.886,0,0,0,1881,,0,1884.1038,12,1
1,0,,,,,,,,,,,,7,313.13593,byplayer,1,7,,10,1,2,,,74.084885,FaZe_Gustav,account.89fd42f81d324253b581b8cf8b004ac4,,,0,1296.9946,0,0,0,1648,,1,1738.3918,7,3
0,0,,,,,,,,,,,,4,180.74223,byplayer,0,4,,37,0,0,,,0,Tian_PaoPao,account.84e858daab17420e8f8b5da1a8d63fd3,,,0,3911.0203,0,0,0,1426,,0,1338.2256,3,6
0,0,,,,,,,,,,,,3,37.39827,byplayer,0,1,,44,0,0,,,0,DAY_PuuChiwz,account.8d67f07455aa483eb4bbad346dfe6707,,,0,7225.3667,0,0,0,1302,,0,759.80695,10,9
