,Total Points,Avg Total Points,WWCD,Avg Rank,Place Pts,Avg Place Pts,Kills,Avg Kills,Assists,Damage Dealt,Avg Damage Dealt,Damage Taken,Avg Damage Taken,Knocks,Revives,Headshot Kills,Stolen Kills,Lost Kills,Grenades Picked,Grenades Dropped,Grenades Thrown,Grenades Damage,Molotovs Picked,Molotovs Dropped,Molotovs Thrown,Molotovs Damage,Smokes Picked,Smokes Dropped,Smokes Thrown,Flashes Picked,Flashes Dropped,Flashes Thrown,Swimming Distance (km),Walk Distance (km),Ride Distance (km),Heals,Health Recovered,Boosts,Vehicle Destroys
Total Points,1.0,0.9995575987509921,0.67659100413908,-0.703909051796117,0.8993312775661076,0.8919181027199248,0.9262876052110915,0.9188906912742308,0.6384521696050638,0.7487038427167237,0.7487408377941408,0.7149402584985887,0.714979221410667,0.7175844767115529,0.40695385959819796,0.5462219020794897,0.6012190223336432,0.33614367747974344,0.6309891547060708,0.2150833853820431,0.763167196979052,0.43926340070271847,0.4252799608174965,0.5055479374188478,0.4720647861645582,0.4038555628257638,0.41442648796677184,0.2872972568865147,0.27594637527895016,-0.10556789423752484,0.05799180612985288,0.07254206082598394,,0.6672756057896874,-0.09368411572841943,0.6992012952049947,0.7379861754119315,0.835505494927761,0.3644920780096087
Avg Total Points,0.9995575987509921,1.0,0.6702124123610671,-0.7061564136780919,0.8998981878737586,0.8929389653520533,0.9250464154271308,0.9177054289318913,0.6321567838175489,0.7543571052196644,0.7543933093972205,0.7087244197269641,0.7087627323579725,0.7189838732663921,0.4051380762585602,0.541164809295337,0.6126849776695384,0.3331853631911159,0.6325346945913628,0.2219163348088423,0.7600642897754765,0.43274734170813506,0.42072049954433954,0.4995844903997595,0.4721197188194594,0.4041005823598183,0.396011044729888,0.287053160365457,0.25509229595782223,-0.114420352865834,0.04870696007165657,0.05824154465127094,,0.6653814733599335,-0.09807367297892147,0.6932525648820452,0.7312462116904903,0.8281949556354502,0.3723780683383921
WWCD,0.67659100413908,0.6702124123610671,1.0,-0.3396583825097425,0.8076555860552856,0.8011953776774098,0.45507707865885677,0.4364682557439306,0.29716374805262386,0.45196041566684386,0.45198488429725864,0.443331380378253,0.44340906131372254,0.33068023580818623,0.16851618843913216,0.3865631973711878,0.30567853018669366,0.33905438880180067,0.6064529229941975,0.28839660922777616,0.7348548804902397,0.5336694509087361,0.1690140853268351,0.625582319792084,0.08892077728963395,0.3233795009670095,0.5680969634900264,0.5469017882704458,0.5198101513081472,-0.00047495392087007205,0.28794774770473447,0.1248710199179347,,0.5189528475194439,-0.17684270458932688,0.5614311459754003,0.5183372568649796,0.6509881859736004,0.03913968438320652
Avg Rank,-0.703909051796117,-0.7061564136780919,-0.3396583825097425,1.0,-0.7297528699483229,-0.7206259863607857,-0.5686859506797093,-0.5736848513976995,-0.4929835042017792,-0.6740560686551689,-0.6740874113520207,-0.6444144209858316,-0.6444713356348336,-0.46552603538027976,-0.4108079398606721,-0.2553304659387127,-0.47325464943509093,-0.4446815717066294,-0.5244807482456126,-0.32358492743553074,-0.5517608687602497,-0.3034337299915296,-0.20447702513804208,-0.06462615883040992,-0.41815503620830274,-0.4644073689749766,-0.39359696139677913,-0.08978347593341456,-0.4054260536557147,0.1576379344112432,-0.11249154214667012,-0.18024870472285714,,-0.6905221926303985,-0.06888202878374648,-0.6145534454968932,-0.6274450033307037,-0.6963568742193078,-0.6127147418160509
Place Pts,0.8993312775661076,0.8998981878737586,0.8076555860552856,-0.7297528699483229,1.0,0.9990729848952122,0.6682692930545403,0.6543919073240084,0.5467878320951953,0.737840577932967,0.7378625212751994,0.5803506502951088,0.5804226394319595,0.543282273815021,0.32901090600092153,0.4462714370055856,0.47688505788029295,0.5119801612418879,0.6889817355475575,0.3926894635507991,0.7882404445778184,0.5759553607846318,0.3290124613540218,0.4571140680747185,0.37108646228017833,0.47709449695474826,0.5114092073580934,0.4615448946876787,0.37930584702007647,-0.0006163816001213436,0.25706476192615785,0.12749006208546573,,0.6856415524149837,-0.23174011756299673,0.6334129280432046,0.6220063439813005,0.7513570540325314,0.313231897680495
Avg Place Pts,0.8919181027199248,0.8929389653520533,0.8011953776774098,-0.7206259863607857,0.9990729848952122,1.0,0.6564561936851756,0.6418786128719459,0.5364327941892164,0.728708981695442,0.7287305099988874,0.558197407608097,0.558270581450585,0.5322408833731778,0.3139704802570622,0.44512013313756915,0.4730419148925112,0.5200213837365233,0.6824277485010856,0.3898950158270485,0.7850979592308405,0.580436685294793,0.3294872367548702,0.44215804479267956,0.38583693530620566,0.47139005563439973,0.49332369857699193,0.46102494784499387,0.3602012045741354,0.01844495012838079,0.24811212508292435,0.12400029803820505,,0.6739708195700497,-0.24701734008111934,0.6157973222923169,0.5998221899700366,0.7355511767546062,0.3066917830620911
Kills,0.9262876052110915,0.9250464154271308,0.45507707865885677,-0.5686859506797093,0.6682692930545403,0.6564561936851756,1.0,0.9993745957266371,0.6149956395231303,0.637925254994447,0.6379692845814904,0.7162011537031683,0.7162054039954041,0.7526435477564523,0.40882003053788946,0.544705615364847,0.6118902475167396,0.13067695234075533,0.47976275810438807,0.027517529749960017,0.6190993362681866,0.25098260813105416,0.43999669772706723,0.46616373952864487,0.48333381141825205,0.275937338828022,0.2643507143401973,0.09103781995285859,0.14259649035188013,-0.17907040353978032,-0.12286566179203197,0.013550021642667168,,0.5443749395001196,0.04031909507028914,0.6436979999711654,0.7195119844674006,0.773952139047898,0.35017785798724094
Avg Kills,0.9188906912742308,0.9177054289318913,0.4364682557439306,-0.5736848513976995,0.6543919073240084,0.6418786128719459,0.9993745957266371,1.0,0.610316855856356,0.6392739537057006,0.6393159601161764,0.7186539051034577,0.7186565160143248,0.7575158679732995,0.4034017920369375,0.5466333346321779,0.610744003063103,0.12637308139486925,0.46146743435154414,0.013182041803669428,0.5984831136015987,0.2280951626375603,0.4320580041740259,0.44983782180721366,0.48007875345443013,0.2718780337998841,0.25521573483011567,0.07451772947552854,0.1385002114942244,-0.19674019235731463,-0.13260870419264315,0.005896932220608029,,0.5453856161970763,0.06371604290320113,0.643864064246899,0.7200506569272409,0.773274877748309,0.3507544299376675
Assists,0.6384521696050638,0.6321567838175489,0.29716374805262386,-0.4929835042017792,0.5467878320951953,0.5364327941892164,0.6149956395231303,0.610316855856356,1.0,0.673730218530679,0.67378715869265,0.7521831183278644,0.7521721204660509,0.663888438338672,0.7086041255235881,0.4065066635268993,0.13149071041961866,0.5604820272655671,0.3426075110353747,0.1948473368227706,0.42712074986270054,0.3311520293807911,0.27323905064367954,0.32675285389657,0.12448244190891003,0.4337651540589053,0.4600353569936881,0.3164788949808601,0.3152887321353167,0.03149770414198474,0.5266287069973764,0.27283338382423067,,0.6166923419227982,-0.2818020174868968,0.6743381221857226,0.7635054050799016,0.4601659633364372,0.3147390760865756
Damage Dealt,0.7487038427167237,0.7543571052196644,0.45196041566684386,-0.6740560686551689,0.737840577932967,0.728708981695442,0.637925254994447,0.6392739537057006,0.673730218530679,1.0,0.9999999759700693,0.5262783353768913,0.526337413365553,0.8089748518298812,0.46933129539064,0.38823569793691665,0.4016427977191294,0.5839626750724616,0.33454424813773903,0.2025519180775676,0.42574277983705827,0.1813767912976403,0.18646404820733742,0.1938979940790053,0.254623714584985,0.5217215216114354,0.33791505174657405,0.5129195832096208,0.1277232380605056,-0.2937528141647953,0.22385172917034296,0.01452361874955602,,0.819960098315676,0.05332144732293239,0.49308209917740303,0.5508525532110274,0.5226596422901322,0.20857186863801389
