Match Name,Map,Winning Team
Grand Finals Match 18,Erangel,logoV7 FUNPIN
Grand Finals Match 17,Erangel,logo17Gaming
Grand Finals Match 16,Vikendi,logoDanawa e-sports
Grand Finals Match 15,Taego,logoNewhappy
Grand Finals Match 14,Miramar,logoSpacestation Gaming
Grand Finals Match 13,Miramar,logoTwisted Minds
Grand Finals Match 12,Miramar,logoSoniqs
Grand Finals Match 11,Miramar,logoCERBERUS Esports
Grand Finals Match 10,Taego,logoTwisted Minds
Grand Finals Match 9,Vikendi,logoLuminosity Gaming
Grand Finals Match 8,Erangel,logoDanawa e-sports
Grand Finals Match 7,Erangel,logoNewhappy
Grand Finals Match 6,Erangel,logoFaZe Clan
Grand Finals Match 5,Erangel,logoPetrichor Road
Grand Finals Match 4,Vikendi,logo17Gaming
Grand Finals Match 3,Taego,logoV7 FUNPIN
Grand Finals Match 2,Miramar,logoNewhappy
Grand Finals Match 1,Miramar,logoTHEERATHON FIVE
