Player,TWR,Number of Matches,Kills,Assists,KDA,KD,KAS,Knocks,Kills/Knocks,Damage Dealt,AR Damage,DMR Damage,SR Damage,Avg Damage Dealt,Damage Taken,Avg Damage Taken,Damage Taken (Zone),Damage Taken (Enemy),Damage Dealt/Damage Taken,Revives,Died 1st,Died 2nd,Died 3rd,Died 4th,Knocked,Revived,Headshot Kills,Longest Kill (m),Stolen Kills,Lost Kills,Grenades Picked,Grenades Dropped,Grenades Thrown,Grenades Damage,Molotovs Picked,Molotovs Dropped,Molotovs Thrown,Molotovs Damage,Smokes Picked,Smokes Dropped,Smokes Thrown,Flashes Picked,Flashes Dropped,Flashes Thrown,Swimming Distance (km),Walk Distance (km),Ride Distance (km),Time Survived,Avg Time Survived,Heals,Health Recovered,Boosts,Vehicle Destroys
CES_Himass,88,6,12,5,3.4,2.4,1,17,0.7,3126.9,1458.1,1384.8,0,521.1,2214.9,369.1,60,2086.8,1.5,6,2,0,0,3,8,6,3,290.2,0,1,14,0,10,122.8,5,0,4,32,23,0,18,21,0,4,0,9.9,24.2,02:38:00,00:26:20,33,1625.8,37,3
DNW_Salute,86,6,13,2,2.5,2.2,1,11,1.2,2242.2,1264.3,863.3,0,373.7,1767.8,294.6,194,1447.2,1.5,2,2,1,1,2,5,1,6,277.5,2,0,15,1,7,52.6,3,0,2,62,26,2,15,11,5,3,0,8.1,40.6,02:15:50,00:22:38,23,1157.8,26,0
FaZe_jeemzz,81,6,8,8,2.7,1.3,1,20,0.4,2398.2,1050.2,1133.8,0,399.7,1962.4,327.1,98.2,1750.4,1.4,2,0,2,1,3,4,1,3,198.8,0,5,31,2,20,201.4,4,0,3,31.2,34,6,20,15,3,3,0,9,14.3,02:21:16,00:23:32,18,1352.4,38,3
SSG_PaG3,81,6,10,7,3.4,2,0.8,9,1.1,1698.5,466.9,476.2,0,283.1,1438.9,239.8,233.6,1140.4,1.5,0,1,0,0,4,2,1,4,432.1,3,1,15,1,10,41.8,0,0,0,0,29,1,13,10,2,4,0,7.1,24.8,02:22:15,00:23:42,16,922.9,24,0
Tian_LinShu23,81,6,10,7,2.8,1.7,0.8,7,1.4,1780.2,602.6,992.6,0,296.7,2256.3,376,907,1226.6,1.5,0,0,0,1,5,2,1,5,184.3,0,1,12,0,8,69.9,5,0,2,0,20,1,5,12,0,3,0,8,34.4,02:09:13,00:21:32,29,1646.3,25,0
CES_Taikonn,80,6,8,7,3,1.6,0.8,6,1.3,2145.9,368.2,1746.7,0,357.7,1359,226.5,24,1223.4,1.8,4,1,2,1,1,4,0,3,402.4,3,0,12,0,9,31,1,0,1,0,15,0,9,12,1,2,0,8.3,22.2,02:25:07,00:24:11,14,834.7,24,4
Tian_77owo,78,6,13,6,3.2,2.2,0.7,10,1.3,1471.9,411.7,839.4,0,245.3,1202.8,200.5,170.7,965.1,1.5,2,0,1,4,1,5,0,2,241.2,2,1,11,0,8,56.9,5,0,3,44.3,15,0,9,8,1,3,0,5.7,27,01:48:25,00:18:04,11,602.8,15,1
SQ_TGLTN,74,6,6,5,2.2,1.2,0.8,10,0.6,1662.5,371.9,1102.3,0,277.1,1345.1,224.2,142,1173.8,1.4,2,1,3,0,1,7,3,0,388.5,1,1,20,2,8,188.3,5,1,2,0,18,0,9,7,0,1,0,6.3,22.9,02:17:09,00:22:51,15,803.1,24,3
T5_RossitedJR,74,6,6,9,3,1.2,0.7,11,0.5,1969.4,253.4,1290,0,328.2,1398.3,233,0,1323.4,1.5,0,1,2,1,1,8,4,2,119,1,4,23,5,13,137.7,6,1,2,0,27,0,12,15,1,2,0,7.1,8,02:04:42,00:20:47,17,858.3,16,0
SQ_Shrimzy,73,6,5,3,1.6,1,0.8,8,0.6,1796,595.8,998.3,50.6,299.3,1348.8,224.8,10,1309.3,1.4,1,1,2,1,1,8,4,2,118,0,0,12,0,9,75.9,4,0,2,0,28,0,23,10,0,2,0,5.7,14.5,02:24:45,00:24:07,19,794.1,24,0
TWIS_spyrro,72,6,9,3,2.4,1.8,0.7,8,1.1,1540.3,867.3,338.6,0,256.7,1812.2,302,372,1306.6,1.2,0,2,0,2,1,6,2,4,58.7,0,0,23,6,10,173.5,4,0,3,31,33,10,11,21,10,8,0,7.6,24.3,02:09:49,00:21:38,18,1280.1,34,0
SQ_Kickstart,72,6,8,3,2.2,1.6,0.7,8,1,1636.7,445.4,648,0,272.8,1515.7,252.6,32.4,1449.6,1.1,4,1,0,2,2,3,0,2,566.3,2,1,23,2,16,189.3,5,0,3,76,30,0,25,14,3,2,0,7.4,21.3,02:26:49,00:24:28,15,990,24,1
