Player,TWR,Number of Matches,Kills,Assists,KDA,KD,KAS,Knocks,Kills/Knocks,Damage Dealt,AR Damage,DMR Damage,SR Damage,Avg Damage Dealt,Damage Taken,Avg Damage Taken,Damage Taken (Zone),Damage Taken (Enemy),Damage Dealt/Damage Taken,Revives,Died 1st,Died 2nd,Died 3rd,Died 4th,Knocked,Revived,Headshot Kills,Longest Kill (m),Stolen Kills,Lost Kills,Grenades Picked,Grenades Dropped,Grenades Thrown,Grenades Damage,Molotovs Picked,Molotovs Dropped,Molotovs Thrown,Molotovs Damage,Smokes Picked,Smokes Dropped,Smokes Thrown,Flashes Picked,Flashes Dropped,Flashes Thrown,Swimming Distance (km),Walk Distance (km),Ride Distance (km),Time Survived,Avg Time Survived,Heals,Health Recovered,Boosts,Vehicle Destroys
LG_M1ME,98,3,10,3,6.5,5,1,11,0.9,1647,583.3,533.3,385,549,878.8,292.9,0,788.4,2.1,0,0,0,2,0,2,0,1,214.8,0,1,12,1,11,0,2,1,0,0,12,0,12,6,1,4,0,5.6,16.9,01:16:39,00:25:33,12,678.4,21,4
PeRo_Aixleft,90,3,8,1,3,2.7,1,5,1.6,1368,596.9,355,126.5,456,771.6,257.2,0,757.2,1.8,0,0,1,2,0,3,0,3,113.8,0,0,11,0,7,186.6,7,1,1,3,9,0,4,4,0,0,0,4.3,4.4,01:08:33,00:22:51,5,471.6,18,0
LG_Fludd,90,3,6,4,5,3,1,6,1,1026.4,523.6,384.3,0,342.1,651.8,217.3,0,615.2,1.7,0,0,2,0,0,3,1,1,306.1,0,1,12,0,11,118.5,0,0,0,0,12,2,4,6,1,0,0,3.6,13.9,01:09:23,00:23:07,9,416.8,8,1
DNW_Salute,87,3,5,5,5,2.5,1,6,0.8,994.3,689.8,178.5,0,331.4,1173.8,391.3,16,1054.4,0.9,2,0,0,1,1,3,1,2,20.2,0,1,16,3,5,39.2,4,0,3,0,12,1,6,3,0,1,0,4.6,18.7,01:15:19,00:25:06,16,862.8,18,0
DNW_seoul,86,3,7,3,5,3.5,0.7,5,1.4,1271.5,444.2,801.9,0,423.8,606.6,202.2,3,558.1,2.3,2,0,2,0,0,3,1,0,249.7,1,1,14,2,7,4.2,2,1,1,0,12,0,4,4,2,0,0,6.2,16,01:12:22,00:24:07,8,386.6,14,0
LG_Snakers,84,3,4,6,5,2,1,6,0.7,1720,657.6,938.5,0,573.3,940.2,313.4,21.8,916.3,1.9,0,0,0,0,2,1,0,2,165.3,0,0,10,1,9,123.9,6,0,6,0,3,0,2,6,0,3,0,4.3,18.1,01:18:15,00:26:05,15,640.2,11,0
SQ_Kickstart,84,3,6,1,2.3,2,1,5,1.2,889.7,469.5,225.6,0,296.6,604.8,201.6,33.8,568.7,1.6,0,0,0,2,1,3,1,1,134.9,0,0,8,0,6,155.4,3,0,3,0,8,3,2,2,0,2,0,3.2,14.8,00:58:42,00:19:34,5,294.8,6,0
FaZe_curexi,81,3,4,3,2.3,1.3,1,4,1,1031.3,480.5,307.7,170,343.8,654.9,218.3,210,383.7,2.7,3,0,1,0,2,1,0,1,175.8,0,0,15,0,13,73.1,3,0,2,0,10,0,7,3,1,0,0,5,8.8,01:16:41,00:25:33,6,352.9,15,0
FaZe_Fexx,81,3,4,3,2.3,1.3,1,7,0.6,1030.5,277.8,659.3,0,343.5,714.5,238.2,32,612.4,1.7,0,0,0,3,0,4,1,1,335.4,0,1,12,3,9,93.4,6,4,0,0,16,1,10,6,0,1,0,5,7.3,01:15:55,00:25:18,7,404.5,14,1
TL_ATongMuu,80,3,6,3,3,2,1,7,0.9,656.7,438.5,139,0,218.9,855.7,285.2,0,849.2,0.8,1,0,1,0,2,3,2,1,102.1,0,0,14,5,8,79.2,6,3,1,0,13,1,12,4,0,3,0,3.4,9.6,01:19:39,00:26:33,7,535.7,16,3
PeRo_Cui71,78,3,4,3,2.3,1.3,1,6,0.7,757.9,552.2,171.3,0,252.6,545,181.7,29,458.8,1.7,0,2,1,0,0,3,0,1,33.8,0,0,6,0,3,34.4,4,0,1,0,8,0,3,4,0,1,0,2.2,3.6,00:54:28,00:18:09,3,245,8,0
TWIS_spyrro,76,3,6,1,2.3,2,1,7,0.9,585.7,362.2,160.9,0,195.2,2431.9,810.6,1237.5,842.1,0.7,3,0,0,0,3,3,3,0,65.9,2,0,13,2,9,62.6,3,0,2,0,20,4,10,7,1,2,0,4,12.3,01:12:27,00:24:09,34,2101.9,17,1
CES_Taikonn,72,3,3,3,2,1,0.7,3,1,980.4,840.2,673.2,0,326.8,935.8,311.9,340.4,460.3,2.1,2,0,0,2,1,2,0,1,243.8,0,0,5,0,4,0,4,0,3,0,10,0,6,4,0,1,0,5.4,18.2,01:06:02,00:22:00,23,635.8,11,0
FaZe_Gustav,72,3,3,1,1.3,1,1,3,1,757.9,240.7,349.7,0,252.6,771.7,257.2,6,650.8,1.2,0,1,1,0,1,3,1,2,74.1,0,1,18,8,3,23.3,3,0,1,0,12,3,1,1,0,0,0,4.3,8.1,01:07:48,00:22:36,9,457.7,14,1
